Ownership,Board,Year of Establishment,Co-Ed Status,Campus Size,Campus Type,Class,Boarding,Infrastructure,Safety and Security,Advanced Facilities,Extra Curricular,Sports and Fitness,Lab,Disabled Friendly,hall_of_fame,gallery,address,email,website,phone_no,school_name,school_image,class_offered,sf_ratio
Private,CBSE,2006,Co-Education,2 Acres,Urban,"['AC Classes', 'Smart Classes', 'Wifi']",[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']","['CCTV', 'GPS Bus Tracking App']","['Alumni Association', 'Meals', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Debate', 'Drama', 'Gardening', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Swimming Pool', 'Karate', 'Taekwondo', 'Yoga']","['Computer Lab', 'Science Lab', 'Robotics Lab']","['Ramps', 'Washrooms', 'Elevators']","['International School Award by British Council, 2012', 'British Council International School Award for outstanding development of the international development in curriculum, 2012-2021', 'Sanskarshala Award for Promoting moral values by Dainik Jagran', 'VVM – Culture of Excellence Award for Best School by Vigyan Prasar, Govt. of India', 'School Award for Innovation in Pedagogical Practices by ASSOCHAM India, 2019', 'Best Healthy School by ASSOCHAM, 2019', 'British Council International School Award for outstanding development of the international development in curriculum, 2012-2021', 'National School Award for Best Innovative K - 12 School category, 2020', 'SCHOOL OF SCIENCE EXCELLENCE by Innovation & Science Promotion Foundation', 'The Future Ready School Award by World Education Conclave, 2019', 'Best in Co-curricular Category by Education World Magazine', 'ED World co-ed Day School India Ranking, 2020-202', 'National Green School Award # 3 by the Centre for Science and Environment, 201']","['https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_Classroom_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_Library_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_Physics_Lab_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_Prize_Distribution_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_School_Auditorium_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_School_Campus_2_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_School_Campus_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_School_Entrance_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sri_Venkateshwar_International_School_1678_Skating_10.jpg']","Sector 18A, Dwarka, South West Delhi, 110078",info@svis.org.in,https://www.svis.org.in/,011-42815337,Sri Venkateshwar International School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,16:1
Private,CBSE,2001,Co-Education,0.27 Acre,Urban,"['Smart Classes', 'Wifi']",[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",[],"['Alumni Association', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Taekwondo', 'Yoga']","['Computer Lab', 'Science Lab']",['Washrooms'],"[""Dr. S Radhakrishnan National Teacher's Award for Teaching by ABLS, 2012""]","['https://images.uniapply.com/uploads/college/image/500/2188/Building_UA_210521_170745.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/ArtCraft_UA_210521_170754.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Dance_UA_210521_170803.jpg']","Plot 5H, Sector 5, Dwarka, South West Delhi, 110075",neogmps.dwarka@gmail.com,gmps.officialpage.info,8459904484,Neo Great Mission Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Pre-Nursery - Class 8,20:1
Private,CBSE,1992,Co-Education,1 Acre,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],['Medical Room'],"['Art and Craft', 'Dance', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Yoga']",['Computer Lab'],[],[],"['https://images.uniapply.com/uploads/college/image/500/2190/Students_2_UA_210417_164200.png', 'https://images.uniapply.com/uploads/college/image/500/2190/Students_3_UA_210417_164221.png', 'https://images.uniapply.com/uploads/college/image/500/2190/Students_UA_210417_164238.png']","D, Mohan Garden, Mohan Garden, Uttam Nagar, West Delhi, 110059",rubyglobal18@gmail.com,9711061605,,Ruby Global School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Pre-Nursery - Class 8,20:1
Private,CBSE,1993,Co-Education,1.5 Acres,Urban,['Smart Classes'],[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']","['CCTV', 'GPS Bus Tracking App', 'Student Tracking App']","['Alumni Association', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Debate', 'Drama', 'Gardening', 'Music', 'Picnics and excursion']","['Gym', 'Indoor Sports', 'Outdoor Sports', 'Karate', 'Taekwondo', 'Yoga']","['Computer Lab', 'Science Lab', 'Robotics Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2190/building_UA_210303_182736.JPG', 'https://images.uniapply.com/uploads/college/image/500/2190/building_2_UA_210303_182730.JPG', 'https://images.uniapply.com/uploads/college/image/500/2190/Classrooms_2_UA_210303_182740.JPG', 'https://images.uniapply.com/uploads/college/image/500/2190/Science_Lab_UA_210303_182758.JPG', 'https://images.uniapply.com/uploads/college/image/500/2190/Guest_2_UA_210305_183005.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Guest_UA_210305_183049.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Play_Area_3_UA_210305_182920.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Play_Area_2_UA_210305_182915.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/play_Area_UA_210305_182944.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Classrooms_UA_210303_182745.JPG', 'https://images.uniapply.com/uploads/college/image/500/2190/Science_Lab_2_UA_210303_182754.JPG', 'https://images.uniapply.com/uploads/college/image/500/2190/annual_Day_1_UA_210305_183910.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/ceremony_UA_210305_183000.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Karrate_UA_210303_182750.JPG']","K1 Extension, Mohan Garden, Uttam Nagar, West Delhi, 110059","kamalmodelschool.94@gmail.com, kmsvis.2011@gmail.com",https://www.kamalmodelschool.in/,"8929000851,8929000854",Kamal Model Senior Secondary School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,20:1
Private,CBSE,2006,Co-Education,1.26 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],['Medical Room'],"['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2188/C_R_Oasis_Convent_Senior_Secondary_School_1606_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/C_R_Oasis_Convent_Senior_Secondary_School_1606_Cultural_Performance_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/C_R_Oasis_Convent_Senior_Secondary_School_1606_Campus_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/C_R_Oasis_Convent_Senior_Secondary_School_1606_Faculty_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/C_R_Oasis_Convent_Senior_Secondary_School_1606_Independence_Day_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/C_R_Oasis_Convent_Senior_Secondary_School_1606_Infrastructure_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/C_R_Oasis_Convent_Senior_Secondary_School_1606_Primary_Wing_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/C_R_Oasis_Convent_Senior_Secondary_School_1606_Sports_Day_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/C_R_Oasis_Convent_Senior_Secondary_School_1606_Students_9.jpg']","Paprawat, Najafgarh, South West Delhi, 110043",croasisconventschool11@gmail.com,http://croasis.co.in,8920119773,C.R. Oasis Convent Senior Secondary School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,23:1
Private,CBSE,1989,Co-Education,1 Acre,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],[],"['Art and Craft', 'Dance', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_Building_1_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_Batminton_Ground_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_Class_Room_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_Computer_Lab_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_Dance_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_Drowing_Activity_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_Event_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_Kho-Kho_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_Rangoli_Activity_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Mata_Kasturi_Devi_Senior_Secondary_Public_School_1631_School_Entrance_Gate_10.jpg']","Gopal Nagar, Najafgarh, South West Delhi, 110043",info@matakasturidevipublicschool.org,http://www.matakasturidevipublicschool.org,"011-28016829,011-28011612",Mata Kasturi Devi Senior Secondary Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,35:1
Private,CBSE,1993,Co-Education,0.78 Acre,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2188/Colonel_Child_Bloom_School_1607_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Colonel_Child_Bloom_School_1607_Dance_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Colonel_Child_Bloom_School_1607_Rangoli_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Colonel_Child_Bloom_School_1607_Reception_4.jpg']","Block C, CRPF Jharoda Road, Naveen Palace, Jharoda Kalan, South West Delhi, 110072",info@colonelchildbloomschool.com,http://www.colonelchildbloomschool.com,8010855533,Colonel Child Bloom School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,27:1
Private Aided,CBSE,2001,Co-Education,NA,Urban,"['AC Classes', 'Smart Classes']",[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']",['Ramps'],[],"['https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Annual_Day_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Class_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Drama_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Entrance_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Exhibition_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Outdoor_Games_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Play_Area_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Racing_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2190/Shiv_Modern_Senior_Secondary_School_1291_Smart_Class_11.jpg']","A-3, Paschim Vihar, West Delhi, 110063",shiv_modern@hotmail.com,www.shivmodernschool.org,"011-25279955, 011-25279080, 7838463464",Shiv Modern Senior Secondary School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,LKG - Class 12,25:1
Private,CBSE,1984,Co-Education,3.46 Acres,Urban,"['AC Classes', 'Smart Classes', 'Wifi']",[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']","['CCTV', 'GPS Bus Tracking App']","['Alumni Association', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Debate', 'Drama', 'Gardening', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Taekwondo', 'Yoga']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Classroom_2_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Classroom_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Dance_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Entrance_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Event_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Function_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Gardening_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Library_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Playground_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Prize_Dirtribution_Ceremony_11.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Racing_12.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_School_Activity_13.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Nanak_Public_School_1447_Yoga_14.jpg']","Parwana Road, Pushpanjali Enclave, Pitampura, North West Delhi, 110034",gnps_ppura@yahoo.co.in,http://www.gnpspitampura.net/Eduorbit/front_website/Home.aspx,"011-27017260,011-27011487",Guru Nanak Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Pre-School (Nursery) - Class 12,20:1
Private,CBSE,1967,Co-Education,1.80 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Alumni Association', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Yoga']","['Computer Lab', 'Science Lab']",[],[],"['https://images.uniapply.com/uploads/college/image/500/2188/Lal_Bahadur_Shastri_School_1734_Building_3_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lal_Bahadur_Shastri_School_1734_Building_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lal_Bahadur_Shastri_School_1734_Computer_Lab_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lal_Bahadur_Shastri_School_1734_Event_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lal_Bahadur_Shastri_School_1734_Ground_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lal_Bahadur_Shastri_School_1734_Lab_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lal_Bahadur_Shastri_School_1734_Library_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lal_Bahadur_Shastri_School_1734_Yoga_8.jpg']","Gopal Prasad, Shastri Marg, Sector 3, RK Puram, South West Delhi, 110022","lbsschool@hotmail.com,lbsschool2@gmail.com",http://www.lbsschoolrkpuram.com,"011- 26166111,011-26179054",Lal Bahadur Shastri School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,22:1
