Ownership,Board,Year of Establishment,Co-Ed Status,Campus Size,Campus Type,Class,Boarding,Infrastructure,Safety and Security,Advanced Facilities,Extra Curricular,Sports and Fitness,Lab,Disabled Friendly,hall_of_fame,gallery,address,email,website,phone_no,school_name
Private,CBSE,1978,Co-Education,6.64 Acres,NA,"['Smart Classes', 'Wifi']",[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Music']","['Indoor Sports', 'Outdoor Sports', 'Yoga']","['Computer Lab', 'Science Lab', 'Robotics Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2184/Laxman_Public_School_1096_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Laxman_Public_School_1096_Basketball_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Laxman_Public_School_1096_Campus_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Laxman_Public_School_1096_Event_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Laxman_Public_School_1096_Ground_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Laxman_Public_School_1096_Sports_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Laxman_Public_School_1096_Yoga_7.jpg']","Near Metro Station, Hauz khas Enclave, Hauz Khas, South Delhi, 110016",general@laxmanpublicschool.com,https://sites.google.com/a/laxmanservices.com/laxman-public-school/home,"011-46071197,011-26963240,011-26865095,9871118323,9818162709,9810858529,9871328738",Laxman Public School
Private,CBSE,1982,Co-Education,0.7 Acre,NA,"['Smart Classes', 'Wifi']",[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],['Medical Room'],"['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']",[],[],"['https://images.uniapply.com/uploads/college/image/500/2180/Guru_Angad_Public_School_1446_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Angad_Public_School_1446_Class_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Angad_Public_School_1446_Group_Picture_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Angad_Public_School_1446_Republic_Day_Activity_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Angad_Public_School_1446_Youth_Parliament_Event_2_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Guru_Angad_Public_School_1446_Youth_Parliament_Event_6.jpg']","A-Block, Near Singh Sabha Gurudwara, Phase 1, Ashok Vihar, North West Delhi, 110052",guruangadpublicschool@gmail.com,https://www.gaps.edu.in/,"011-27418352,011-27231520",Guru Angad Public School
Private,NA,NA,Co-Education,NA,Urban,[],[],[],[],['Medical Room'],"['Art and Craft', 'Dance', 'Debate', 'Drama']",[],[],[],[],[],"Chhatarpur Enclave, Chattarpur Mandir Bypass Rd, DR Ambedkar Colony, Aya Nagar, South West Delhi, 110074",9250181317,,,St. Surya Public School
Private,CBSE,1886,Co-Education,NA,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Alumni Association', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Gardening', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Taekwondo', 'Yoga']","['Computer Lab', 'Science Lab', 'Robotics Lab']",[],[],"['https://images.uniapply.com/uploads/college/image/500/2174/DAV_Public_School_1861_Activity_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/DAV_Public_School_1861_Event_2_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/DAV_Public_School_1861_Event_3.jpg']","RamaKrishna Ashram Marg, , Block D, DIZ Area, Sector 3, Gole Market, New Delhi, 110001",dmodel_50@rediffmail.com,http://davpubschoolgmnd.org/,"011-23743515,011-23344139",DAV Public School
Private,CBSE,1992,Co-Education,0.27 Acre,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports', 'Karate', 'Yoga']","['Computer Lab', 'Science Lab']",['Washrooms'],[],"['https://images.uniapply.com/uploads/college/image/500/2174/Vidya_Public_School_1858_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Vidya_Public_School_1858_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Vidya_Public_School_1858_Event_1_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Vidya_Public_School_1858_Event_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Vidya_Public_School_1858_Sports_5.jpg']","Vidya Bhawan, Opposite Kali Mandir, Bangla Sahib Road, Connaught Place, New Delhi, 110001",vidyapublicschool@yahoo.co.in,http://www.vidyapublicschool.com/index.html,011-23369415,Vidya Public School
Private,State board,1975,Co-Education,0.2 Acre,Urban,[],[],"['Library/Reading Room', 'Playground']",[],['Medical Room'],"['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports', 'Karate']",['Computer Lab'],"['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2170/Shri_Guru_Ram_Rai_Saraswati_Shishu_Mandir_1851_Activity_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Shri_Guru_Ram_Rai_Saraswati_Shishu_Mandir_1851_Classroom_1_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Shri_Guru_Ram_Rai_Saraswati_Shishu_Mandir_1851_Classroom_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Shri_Guru_Ram_Rai_Saraswati_Shishu_Mandir_1851_Sports_4.jpg']","Aram Bagh Road, Pahar Ganj, Central Delhi, 110055",shrigururamraishishumandir@gmail.com,http://gururamraisaraswatisishumandir.in/,"8766528238,9873244337,9873244405,9891925906,9868266103",Shri Guru Ram Rai Saraswati Shishu Mandir
Private,CBSE,1997,Co-Education,1.1 Acres,Urban,"['AC Classes', 'Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']",[],[],"['https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Building_1_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Building_2.PNG', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Activity_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Art_Competition_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Class_Room_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Class_Test_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Dance_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Event_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Physical_Exercise_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Play_Ground_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Happy_Home_Public_School_1450_Prayer_Assembly_11.jpg']","B4, Sector 11, Rohini, North West Delhi, 110085",happyhome.rohini@gmail.com,http://www.happyhomepublicschool.com/,"011-27570370,011-27572745",Happy Home Public School
Private,CBSE,1979,Co-Education,3 Acres,Urban,['Smart Classes'],[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Dance', 'Music']","['Indoor Sports', 'Outdoor Sports', 'Yoga']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2184/Fr_Agnel_School_1091_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Fr_Agnel_School_1091_Annual_Day_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Fr_Agnel_School_1091_Indoor_Games_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Fr_Agnel_School_1091_Laboratory_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Fr_Agnel_School_1091_Library_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Fr_Agnel_School_1091_Outdoor_Games_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Fr_Agnel_School_1091_Physics_Lab_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Fr_Agnel_School_1091_Sports_Day_8.jpg']","Squadron Leader Mohinder Kumar Jain Marg, Gautam Nagar, South Delhi, 110049",office@agnel.org,https://agnel.org/,"011-41003440,011-41034441",Fr. Agnel School
Private,CBSE,1992,Co-Education,4 Acres,Urban,['Smart Classes'],[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Taekwondo', 'Yoga']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/Sachdeva_Public_School_1526_Building_2_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sachdeva_Public_School_1526_Building_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sachdeva_Public_School_1526_Field_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sachdeva_Public_School_1526_Infra_4.jpg']","Sector 13, Rohini, North West Delhi, 110085",info@spsrohini.com,https://www.spsrohini.com/,"011-27566177,011-27566176",Sachdeva Public School
Private,CBSE,1989,Co-Education,4 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Gym', 'Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/Maharaja_Aggarsain_Adarsh_Public_School_Pitampura_79_1478_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Maharaja_Aggarsain_Adarsh_Public_School_Pitampura_79_1478_BasketBall_Ground_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Maharaja_Aggarsain_Adarsh_Public_School_Pitampura_79_1478_Class_Room_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Maharaja_Aggarsain_Adarsh_Public_School_Pitampura_79_1478_Class_Test_4.jpg']","DU-Block, Uttari Pitampura, Pitampura, North West Delhi, 110088",maaps.pp@gmail.com,http://www.maaps.net.in/,"011-27344340,011-27342984",Maharaja Aggarsain Adarsh Public School
