Ownership,Board,Year of Establishment,Co-Ed Status,Campus Size,Campus Type,ac_classes,smart_classes,wifi,boys_hostel,girls_hostel,auditorium/media_room,cafeteria/canteen,library/reading_room,playground,cctv,gps_bus_tracking_app,student_tracking_app,alumni_association,day_care,meals,medical_room,transportation,art_and_craft,dance,debate,drama,gardening,music,picnics_and_excursion,skating,horse_riding,gym,indoor_sports,outdoor_sports,swimming_pool,karate,taekwondo,yoga,computer_lab,science_lab,robotics_lab,ramps,washrooms,elevators,hall_of_fame,gallery,address,email,website,phone_no,school_name,school_image,class_offered,sf_ratio
Private,CBSE,2004,Co-Education,2Acres,Urban,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/SAM_International_School_1662_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/SAM_International_School_1662_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/SAM_International_School_1662_Class_Activity_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/SAM_International_School_1662_Event_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/SAM_International_School_1662_Group_Picture_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/SAM_International_School_1662_School_Activity_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/SAM_International_School_1662_Teachers_Day_Celebration_7.jpg']","Phase 2, Sector 12, Dwarka, South West Delhi, 110075",sam_dwarka@yahoo.co.in,http://saminternationalschool.com/,"011-42815282,011-42815284,011-42815285",SAM International School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,26:1
Private,CBSE,2015,Co-Education,2Acres,Urban,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,['ZamitSchool Award for Best Leadershi'],"['https://images.uniapply.com/uploads/college/image/500/2188/Building1_210224_201034.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Building_4_UA_210225_153149.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Building_UA_210225_153230.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Building_2_UA_210225_153145.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/building_5_UA_210225_152415.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lobby_UA_210225_153011.jpg']","Sector 18, Dwarka, South West Delhi, 110075",info.disedge@dis.ac.in,www.disedge.ac.in,011-28089999,Delhi International School Edge,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 10,20:1
Private,CBSE,2001,Co-Education,3.9Acres,Urban,False,True,True,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Pragati_Public_School_1758_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Pragati_Public_School_1758_Activity_1_2.jpg']","Near Metro Station Phase 2, Sector 13, Dwarka, South West Delhi, 110078",ppsdwarka@rediffmail.com,http://pragatipublicschool.in/,"011-28033100,011-28032711,9811011183",Pragati Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Toddler - Class 12,35:1
Private,CBSE,2018,Co-Education,NA,Urban,True,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,False,True,False,True,True,False,True,True,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Central_Academy_International_School_1748_Building_7_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Central_Academy_International_School_1748_Building_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Central_Academy_International_School_1748_Indoor_Sports_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Central_Academy_International_School_1748_Junior_Classroom_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Central_Academy_International_School_1748_Students_5.jpg']","Opposite Metro Line, Sector 10, Dwarka, South West Delhi, 110075",centralacademydwarka@gmail.com,https://centralacademyschools.org/dwarka/,"011-40072929 , 011-40072828 , 7042702929",Central Academy International School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 10,25:1
Private,CBSE,2008,Co-Education,2Acres,Urban,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,[],"['https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Building_1_1_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Building_5_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Building_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Art_and_craft_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Classroom_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Computer_lab_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_EVENT_1_1_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Gate_1_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Infrastructure_1_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Junior_Classroom_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Karate_11.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Lab_2_12.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Lab_1_13.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Sports_1_14.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Students_1_15.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Students_16.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/OPG_World_School_1755_Swimming_pool_1_17.jpg']","Opposite Sanskriti Appartments, Sector 19B, Dwarka, South West Delhi, 110075",info@opgworldschool.com,https://opgworldschool.com/,"01145909090, 9540090909",OPG World School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,15:1
Private,CBSE,2010,Co-Education,2.49Acres,NA,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Infant_Jesus_Secondary_School_1700_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Infant_Jesus_Secondary_School_1700_Event_1_1_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Infant_Jesus_Secondary_School_1700_School_Campus_3.jpg']","Infant Jesus Bus Stop, Road Number 7, Near Sector 19B, Qutub Vihar Phase 1, Dwarka, South West Delhi, 110071",infantjesusdwarka@gmail.com,http://www.ijsdwarka.com/,"011-2531633,8800953999,9821059245,8586848001",Infant Jesus Secondary School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 10,23:1
Private,CBSE,2012,Co-Education,0.27Acre,Urban,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,"['SchoolExcellency Awards for Leader in Teaching Practice by Udaan, 202', ""Dr.S Radhakrishnan National Teacher's Award for Teaching Contribution by ABLS, 202""]","['https://images.uniapply.com/uploads/college/image/500/2188/Building_UA_210525_162129.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Art_and_Craft_UA_210525_162135.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Event_1_UA_210525_162141.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Event_UA_210525_162147.jpg']","Sector 10, Dwarka, South West Delhi, 110075",risingstars.del@gmail.com,risingstars.ind.in,9599400201,Rising Stars Junior School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Pre-Nursery - Class 5,20:1
Private,CBSE,2005,Co-Education,1.97Acres,Urban,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Modern_International_School_1639_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Modern_International_School_1639_Acitivity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Modern_International_School_1639_Chemistry_Lab_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Modern_International_School_1639_Class_Room_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Modern_International_School_1639_Classroom_1_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Modern_International_School_1639_music-room2_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Modern_International_School_1639_Sports_1_7.jpg']","Phase 1, Sector 19, Dwarka, South West Delhi, 110075",modernint.school@yahoo.com,http://www.moderninternationalschool.com,"011-65441037,011-45641444",Modern International School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,28:1
Private,CBSE,2009,Co-Education,1Acre,Urban,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,True,True,True,False,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Building_2_UA_210220_191509.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Building_UA_210220_191513.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Building_1_UA_210220_191517.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Picnic_UA_210220_191525.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Karate_UA_210220_191530.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Dance_UA_210220_191534.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Activity_1_UA_210220_191538.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Activity_UA_210220_191541.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Classroom_1_UA_210220_191545.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Classroom_UA_210220_191548.jpg']","Elephanta Lane, Sector 10, Dwarka, South West Delhi, 110075",gfps.dwarka@gmail.com,http://www.goldfield.in/,"011-41040242,9818589251,9871319430",Gold Field Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 10,20:1
Private,CBSE,2001,Co-Education,0.27Acre,Urban,False,True,True,False,False,False,True,True,True,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False,True,False,"[""Dr.S Radhakrishnan National Teacher's Award for Teaching by ABLS, 201""]","['https://images.uniapply.com/uploads/college/image/500/2188/Building_UA_210521_170745.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/ArtCraft_UA_210521_170754.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Dance_UA_210521_170803.jpg']","Plot 5H, Sector 5, Dwarka, South West Delhi, 110075",neogmps.dwarka@gmail.com,gmps.officialpage.info,8459904484,Neo Great Mission Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Pre-Nursery - Class 8,20:1
